Order	Suborder	Family	Species	MYA	Actual MYA	5Mya_SD_oxy	5Mya_M_oxy	5Mya_slope_oxy	5Mya_SD_carbon	5Mya_M_carbon	5Mya_slope_carbon	1Mya_SD_oxy	1Mya_M_oxy	1Mya_slope_oxy	1Mya_SD_carbon	1Mya_M_carbon	1Mya_slope_carbon	400k_SD_oxy	400k_M_oxy	400k_slope_oxy	400k_SD_carbon	400k_M_carbon	400k_slope_carbon	200K_SD_oxy	200K_M_oxy	200K_slope_oxy	200K_SD_carbon	200K_M_carbon	200K_slope_carbon	100k_SD_oxy	100k_M_oxy	100k_slope_oxy	100k_SD_carbon	100k_M_carbon	100k_slope_carbon	40k_SD_oxy	40k_M_oxy	40k_slope_oxy	40k_SD_carbon	40k_M_carbon	40k_slope_carbon	CC	mass	EQ	Fossil	Social
Carnivora	Feliformes	Felidae	Smilodon californicus	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	385.61	225.6	0.56	Yes	N/A
Carnivora	Feliformes	Felidae	Smilodon fatalis	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	345.91	225.6	0.5	Yes	N/A
Carnivora	Feliformes	Felidae	Smilodon gracilis	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	184.88	82.8	0.57	Yes	N/A
Carnivora	Feliformes	Hyaenidae	Proteles cristata	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	35.16	10	0.54	No	Facultative
Carnivora	Cynoidea	Canidae	Alopex lagopus	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	35.52	4.87	0.95	No	Stable
Carnivora	Feliformes	Felidae	Felis chaus	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	39.25	7.39	0.77	No	Solitary
Carnivora	Feliformes	Felidae	Felis nigripes	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	20.09	1.3	1.47	No	Solitary
Carnivora	Feliformes	Felidae	Felis silvestris	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	37.34	5.53	0.91	No	Solitary
Carnivora	Cynoidea	Canidae	Atelocynus microtis	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	62.18	7.75	1.17	No	N/A
Carnivora	Cynoidea	Canidae	Chrysocyon brachyurus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	120.3	23.25	0.98	No	Facultative
