Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ
Zaglossus bruijni,Monotremata,37.35,36.05,7500,0.86
Tachyglossus aculeatus,Monotremata,20.73,20.01,4250,0.73
Ornithorhynchus anatinus,Monotremata,10.08,9.73,1389,0.81
Rhyncholestes raphanurus,Paucituberculata,0.67,0.65,20,1.29
Peroryctes raffrayana,Peramelemorphia,6.56,6.33,977,0.69
Perameles bougainville,Peramelemorphia,3.33,3.21,457,0.62
Isoodon macrourus,Peramelemorphia,4.58,4.42,822,0.55
Isoodon obesulus,Peramelemorphia,4.03,3.89,691,0.55
Macrotis lagotis,Peramelemorphia,6.81,6.57,1859,0.44
Perameles gunnii,Peramelemorphia,4.66,4.5,1002,0.48
Perameles nasuta,Peramelemorphia,5.14,4.96,1273,0.44
Echymipera rufescens,Peramelemorphia,3.86,3.73,798,0.47
Echymipera clara,Peramelemorphia,4.64,4.48,1207,0.42
Equus burchellii,Perissodactyla,612,590.73,250000,1.03
Tapirus bairdii,Perissodactyla,85,82.05,14260,1.21
Equus asinus,Perissodactyla,434,418.92,234000,0.77
Homo sapiens,Primates,1250.43,1206.98,65142.86,5.72
Ateles paniscus,Primates,108.96,105.17,3430,4.48
Cebus albifrons,Primates,62.95,60.76,1620,4.53
Macaca nigra,Primates,97.5,94.11,3452,3.99
Macaca nemestrina,Primates,110,106.18,4456,3.72
Cebus capucinus,Primates,70.14,67.7,2104.88,4.16
Macaca assamensis,Primates,90.5,87.36,3655,3.55
Cebus apella,Primates,71.3,68.82,2589,3.62
Cebus olivaceus,Primates,72.5,69.98,2684.5,3.58
Lagothrix lagotricha,Primates,89.35,86.25,3905,3.34
Macaca sinica,Primates,58.15,56.13,1970,3.62
Theropithecus gelada,Primates,130,125.48,7710,2.92
Cercocebus agilis,Primates,95.3,91.99,4700,3.1
Mandrillus sphinx,Primates,159.2,153.67,11500,2.66
Ateles geoffroyi,Primates,104.96,101.32,5774,2.93
Lophocebus albigena,Primates,96.8,93.44,5125,2.95
Pan paniscus,Primates,329.7,318.24,39700,2.18
Cercopithecus cephus,Primates,76,73.36,3508.33,3.08
Macaca mulatta,Primates,87.99,84.94,4612.78,2.9
Semnopithecus entellus,Primates,111.5,107.63,7010,2.69
Cercopithecus mona,Primates,67,64.67,3001,3.05
Macaca fascicularis,Primates,66.93,64.6,3109.45,2.96
Hylobates lar,Primates,93.99,90.73,5550,2.7
